,Ticker,Name,Country,DM/EM,Sector,Conviction,Pot'l flows  (USDmm),Pot'l  Shares  (mm),EDT,Price as of  previous  Cutoff (18-  Apr),Price as of  run date  (30-Jun),% Change
0,300502 CH300502 C2,Eoptolink Technology Inc Ltd,China A,EM,Information Technology,High,29.1,3.1,0.0,57.1,68.0,19.1%
1,688072 CH688072 C1,Piotech Inc,China A,EM,Information Technology,High,27.1,0.5,0.3,434.0,426.0,-1.9%
2,300394 CH300394 C2,Suzhou TFC Optical Communicati,China A,EM,Information Technology,High,25.4,1.7,0.1,65.3,106.8,63.6%
3,002865 CH002865 C2,Hainan Drinda New Energy Techn,China A,EM,Information Technology,High,20.8,1.0,0.1,97.0,152.5,57.2%
4,002517 CH002517 C2,Kingnet Network Co Ltd,China A,EM,Communication Services,High,20.4,9.4,0.1,13.2,15.7,19.2%
5,603728 CH603728 C1,Shanghai Moons' Electric Co Lt,China A,EM,Industrials,High,20.3,1.8,0.2,44.0,80.3,82.5%
6,600129 CH600129 C1,Chongqing Taiji Industry Group,China A,EM,Health Care,High,20.0,2.4,0.3,42.8,59.5,39.2%
7,600066 CH600066 C1,Yutong Bus Co Ltd,China A,EM,Industrials,High,19.7,9.7,0.5,12.1,14.7,21.5%
8,600060 CH600060 C1,Hisense Visual Technology Co L,China A,EM,Consumer Discretionary,Medium,19.5,5.7,0.6,21.6,24.8,14.8%
9,603000 CH603000 C1,People.cn Co Ltd,China A,EM,Communication Services,Medium,19.5,4.8,0.1,22.4,29.2,30.2%
10,002262 CH002262 C2,Jiangsu Nhwa Pharmaceutical Co,China A,EM,Health Care,Medium,18.7,4.4,0.7,27.9,30.8,10.7%
11,600733 CH600733 C1,BAIC BluePark New Energy Techn,China A,EM,Consumer Discretionary,Medium,18.1,24.4,0.6,6.0,5.4,-10.0%
12,300866 CH300866 C2,Anker Innovations Technology C,China A,EM,Information Technology,Low,17.9,1.5,0.4,67.8,87.5,29.1%
13,002281 CH002281 C2,Accelink Technologies Co Ltd,China A,EM,Information Technology,Low,17.5,3.4,0.1,27.0,37.1,37.2%
14,601928 CH601928 C1,Jiangsu Phoenix Publishing & M,China A,EM,Communication Services,Low,17.5,11.1,0.5,11.0,11.4,3.9%
15,002595 CH002595 C2,Shandong Himile Mechanical Sci,China A,EM,Industrials,Low,16.9,3.5,1.5,30.2,35.1,16.2%
16,601179 CH601179 C1,China XD Electric Co Ltd,China A,EM,Industrials,Low,16.7,22.4,0.6,5.6,5.4,-2.9%
17,600418 CH600418 C1,Anhui Jianghuai Automobile Gro,China A,EM,Consumer Discretionary,Low,16.6,9.5,0.2,12.6,12.6,0.0%
18,300002 CH300002 C2,Beijing Ultrapower Software Co,China A,EM,Information Technology,Low,16.5,8.6,0.0,11.3,14.0,24.3%
19,688017 CH688017 C1,Leader Harmonious Drive System,China A,EM,Industrials,Low,16.5,0.7,0.2,129.4,162.4,25.5%
20,600166 CH600166 C1,Beiqi Foton Motor Co Ltd,China A,EM,Consumer Discretionary,Low,16.4,35.0,0.5,3.2,3.4,5.3%
21,600100 CH600100 C1,Tsinghua Tongfang Co Ltd,China A,EM,Information Technology,Low,16.4,14.6,0.1,7.9,8.1,3.4%
